Areaname;Obama vote percent, 2008 (n);Population, 2013 estimate / Land area in square miles, 2010 (n);Population, percent change - April 1, 2010 to July 1, 2013 (n);Persons 65 years and over, percent, 2013 (n);Female persons, percent, 2013 (n);White alone, percent, 2013 (n);Black or African American alone, percent, 2013 (n);American Indian and Alaska Native alone, percent, 2013 (n);Asian alone, percent, 2013 (n);Native Hawaiian and Other Pacific Islander alone, percent, 2013 (n);Hispanic or Latino, percent, 2013 (n);White alone, not Hispanic or Latino, percent, 2013 (n);Language other than English spoken at home, pct age 5+, 2008-2012 (n);Bachelor's degree or higher, percent of persons age 25+, 2008-2012 (n);Median household income, 2008-2012 (n);Persons below poverty level, percent, 2008-2012 (n)
Conecuh, AL;0.5710999203302236;-0.14144641369515304;-0.9184236480570174;0.5805261613508552;0.7859181528486829;-2.0398149935991943;2.5492230151479323;-0.24044285791071388;-0.4291135190843527;-0.12409134446983397;-0.5329375770961796;-1.3194930771860536;-0.7052707390565931;-1.1160698854786057;-1.5615150411390113;2.1913666659844404
Coosa, AL;-0.043778327776935896;-0.14055390345305047;-1.847708167257946;0.2377550034107444;0.11813206082289639;-1.154128716705375;1.531476251307521;-0.20106030006958747;-0.4291135190843527;0.08787555535010179;-0.5030796400320521;-0.6093695472953119;-0.5662218069148024;-1.1160698854786057;-0.6907671062350567;0.6065446817773841
Covington, AL;-1.5194861232341186;-0.129270485619644;-0.02011527949611934;0.557674750821515;0.7413990800469632;-0.04087027144300544;0.2437150399176124;-0.21418781934996292;-0.31666218723014183;-0.12409134446983397;-0.5404020613622116;0.30220746625237843;-0.6009840399502501;-0.6483561147224668;-0.867589194357624;0.7153069748112015
Crenshaw, AL;-0.7743983637630899;-0.13704367947416532;0.07281317242397355;0.07779512970535953;0.6968800072452435;-0.8219963628701925;1.0329880404469112;-0.2273153386303384;0.1331431401867016;-0.01810789455986609;-0.5254730928301478;-0.3525163556327027;-0.5488406903970786;-0.9677703971900738;-0.7005158525383921;0.3268702139761387
Cullman, AL;-1.8016067311891681;-0.08801978780655939;0.04183702178394259;0.009240898117337209;0.2071702064263327;0.6725992293881272;-0.5386345132386222;-0.21418781934996292;-0.31666218723014183;-0.12409134446983397;-0.33139650191331865;0.745405130297664;-0.43586343303187375;-0.6027255029413803;-0.5378966792887876;0.35794515484294415
Dale, AL;-1.0275835247483909;-0.09989541662798582;-0.329876785896429;-0.5163415440574991;0.2516892792280524;-0.6128759919369302;0.7214329086590302;-0.18793278078921197;-0.016791968952246186;-0.01810789455986609;-0.23435820645490413;-0.33237100726700836;-0.25336170959577364;-0.22627295574741493;-0.033399058091177276;-0.046029076425521384
Dallas, AL;1.8514934487416024;-0.1258084263910621;-1.4140420582975126;-0.42493590194013614;1.5872614632796254;-3.4606033961163627;4.183156595191042;-0.2666978964714648;-0.31666218723014183;-0.12409134446983397;-0.5926534512244347;-2.462741596939234;-0.6705085060211454;-0.7053943794488252;-1.6359752930765563;3.139152362421994
DeKalb, AL;-1.2952364092185662;-0.09849387448422228;-0.14401988205624322;-0.4477873124694772;0.3407274248314919;0.43887646187448065;-0.4970938290002381;-0.017275030144330808;-0.35414596451487873;0.723776254809909;0.4001229561578062;0.16622636478393837;0.1550945285707362;-1.0932545795880622;-0.7388385104204694;0.49778238874356656
Elmore, AL;-1.2518332387639433;-0.07627943613366527;0.506479281384407;-0.8591127019976099;0.6523609344435237;-0.5575205996310661;0.8252846192549905;-0.24044285791071388;-0.24169463266066793;-0.01810789455986609;-0.4508282501698289;-0.17624455743287318;-0.4793162243261833;0.18440255028236555;0.8294490306704194;-0.5121531894275968
Escambia, AL;-0.4416407236109803;-0.12734098946810957;-0.3918290871764909;-0.21927320717607;-0.6386921768063296;-1.4063032816543097;1.5937872776650972;0.16651023978092583;-0.3916297417996157;-0.01810789455986609;-0.5030796400320521;-0.8410410535008018;-0.7052707390565931;-0.8308785618468137;-1.2244269254262652;1.336805792147302
Etowah, AL;-0.8178015342177131;-0.040519041382082135;-0.2679244846163671;-0.08216474400002535;0.6968800072452435;-0.24384004323117217;0.4375715663634051;-0.21418781934996292;-0.20421085537593095;0.19385900526006963;-0.3911123760415738;0.05542694877261681;-0.5488406903970786;-0.48864897348866354;-0.6710174908791615;0.3890200957097491
Fayette, AL;-1.1867284830820086;-0.13480761370171218;-0.7015905935768005;0.4205662876454703;0.2071702064263327;0.06984051316872267;0.1814040135600363;-0.24044285791071388;-0.3916297417996157;-0.12409134446983397;-0.5478665456282434;0.3878251968065808;-0.6965801807977312;-0.8993244795184437;-1.0550844788640155;0.4356325070099567
Franklin, AL;-0.8539708429298989;-0.1219545790829463;-0.298900635256398;-0.2878274387640919;0.07361298802117666;0.4327258627293842;-0.3378545394197655;-0.09604014582658367;-0.3916297417996157;-0.01810789455986609;0.4896967673501889;0.06549962295546435;0.3202151354891125;-0.8308785618468137;-0.7067348803525888;0.5443948000437742
Geneva, AL;-1.678631081567736;-0.12376884775373052;-0.17499603269627417;0.32916064552810775;0.47428464323664793;0.11904530632949022;0.042935066098755824;-0.17480526150883652;-0.35414596451487873;-0.01810789455986609;-0.40604134457363755;0.3475345000751913;-0.48800678258504526;-0.9791780501353454;-1.0107108750005576;0.5754697409105791
Greene, AL;3.0089113275315498;-0.14237389504518153;-1.135256702537234;0.009240898117337209;1.053032589658995;-4.094115108061247;4.917042016735828;-0.2666978964714648;-0.3916297417996157;-0.12409134446983397;-0.5851889669584028;-2.981484317355875;-0.7400329720920408;-0.8993244795184437;-1.8377575333723188;2.579803426819503
Hale, AL;1.388526297225624;-0.13650664574539656;-0.7945190454968936;-0.05931333347068511;1.1420707352624344;-2.7225314987048463;3.373113252542551;-0.2666978964714648;-0.3916297417996157;-0.12409134446983397;-0.577724482692371;-1.8734901572426605;-0.5836029234325263;-0.8879168265731722;-1.3644390921621004;1.7718549642825725
Henry, AL;-0.4778100323231661;-0.13263828817957768;-0.11304373141621223;0.6719318034682186;0.8304372256503995;-0.9327071474819206;1.2683852511310878;-0.24044285791071388;-0.20421085537593095;-0.12409134446983397;-0.47322170296792454;-0.46331577164402427;-0.39241064173756424;-0.4202030558170333;-0.4172139233268072;-0.046029076425521384
Houston, AL;-0.8829062898996475;-0.04923846674690652;0.537455432024438;-0.3563816703521142;0.9194753712538389;-0.914255350046632;1.1922273300273833;-0.2273153386303384;-0.166727078091194;-0.01810789455986609;-0.41350582883966946;-0.4884974571011428;-0.4271728747730119;-0.020935202732524687;-0.3207349512903493;0.21810792094232123
Jackson, AL;-0.7960999489904015;-0.12230594778718948;-0.2679244846163671;0.21490359288140418;0.3407274248314919;0.40197286700390433;-0.4001655657773417;-0.08291262654620818;-0.31666218723014183;-0.01810789455986609;-0.4508282501698289;0.6245330401034949;-0.514078457361631;-0.716802032394097;-0.7215260816404082;-0.014954135558716468
Jefferson, AL;0.7736480491184646;0.18441429928095326;-0.0510914301361503;-0.7448556493509063;1.231108880865874;-1.9106524115521788;2.327672699209883;-0.2535703771910893;0.058175585617227694;-0.01810789455986609;-0.37618340750951;-1.329565751368901;-0.2794333843723594;1.1198300917946429;-0.019280184134622468;0.10934562790850375
Lamar, AL;-1.3531073031580636;-0.13672538148613905;-0.8254951961369243;0.6262289824095365;0.5633227888400874;0.10674410803929811;0.15371022406778018;-0.2666978964714648;-0.4665972963690896;-0.12409134446983397;-0.5553310298942753;0.41804321935512345;-0.7313424138331787;-1.0590316207522472;-0.8717912401780272;0.5910072113439818
Lauderdale, AL;-0.4705761705807288;-0.07167317811346675;-0.08206758077618126;0.16920077182272208;0.9639944440555587;0.10674410803929811;0.07062885559101181;-0.2273153386303384;-0.20421085537593095;-0.01810789455986609;-0.4806861872339564;0.38278885971515736;-0.5227690156204929;0.2756637738445386;-0.4154490640822378;0.24918286180912613
Lawrence, AL;-0.4561084470958543;-0.1225858385180488;-0.7945190454968936;-0.19642179664672896;0.6523609344435237;-0.4406592158742433;0.15371022406778018;0.4684431832295617;-0.4291135190843527;-0.12409134446983397;-0.5030796400320521;-0.04529979305585722;-0.618365156467974;-0.7396173382846403;-0.5141971408617134;-0.03049160599211865
Lee, AL;-0.1378185304286189;-0.009996731305898069;2.2411437172261413;-1.658912070524535;0.2516892792280524;-0.8527493585956724;0.991447356208527;-0.24044285791071388;0.6579160221730189;-0.01810789455986609;-0.3687189232434781;-0.45827943455260084;-0.2099089183014641;1.3479831507000763;-0.2063552640589737;0.7463819156780069
Limestone, AL;-0.9480110455815822;-0.06057864447057915;2.1482152653060482;-0.8362612914682693;-0.14898237598741884;-0.176183452635116;0.27833227678293254;-0.18793278078921197;0.020691808332490715;0.08787555535010179;-0.22689372218887227;0.015136252041227339;-0.25336170959577364;0.2756637738445386;0.21452164531261256;-0.4655407781273891
Lowndes, AL;2.4157346646517026;-0.14156368871345976;-1.7547797153378533;-0.12786756505870664;1.0975516624607147;-3.6697237670496254;4.425477253248282;-0.2666978964714648;-0.3916297417996157;-0.12409134446983397;-0.577724482692371;-2.6289407209562157;-0.7313424138331787;-0.6027255029413803;-1.4809198023036776;1.13481867651307
Macon, AL;3.2837980737441628;-0.13176782534985151;-2.6530880838987514;-0.15071897558804767;1.7653377544865012;-4.217127090963166;5.007046832585661;-0.2666978964714648;-0.3916297417996157;-0.12409134446983397;-0.5478665456282434;-3.0872473962757727;-0.44455399129073575;0.001880103158018583;-1.4864665027866097;1.8340048460161829
Madison, AL;0.028560289647435805;0.09386816140831272;1.0020976916249025;-0.8819641125269505;0.5188037160383676;-0.9634601432074005;1.0606818299391672;-0.18793278078921197;0.4330133584645972;-0.01810789455986609;-0.309003049115223;-0.5892241989296167;-0.18383724352487837;2.089480592142735;1.058712650631619;-0.6053780120280118
Marengo, AL;0.7374787404062788;-0.13836200431702664;-1.4140420582975126;0.26060641394008544;1.3201470264693103;-2.3288931534187047;2.9023188311741976;-0.2666978964714648;-0.3916297417996157;0.08787555535010179;-0.49561515576602017;-1.5914552801229336;-0.7052707390565931;-0.20345764985687165;-0.9353261729825239;1.0105189130458496
Marion, AL;-1.4833168145219326;-0.12696052645961362;-0.5467098403766457;0.6033775718801963;0.2071702064263327;0.5372860481960158;-0.34477798679282956;-0.24044285791071388;-0.3916297417996157;-0.01810789455986609;-0.47322170296792454;0.7252597819319689;-0.6270557147268359;-1.2301464149313224;-1.1492103052410476;0.7153069748112015
Marshall, AL;-1.4688490910370584;-0.05562040317171433;0.47550313074437606;-0.2878274387640919;0.4297655704349282;0.5372860481960158;-0.47632348688104603;-0.14855022294808554;-0.24169463266066793;0.19385900526006963;0.3030846606993917;0.26191676952098825;0.16378508682959808;-0.4772413205433917;-0.5879010245515859;0.5754697409105791
Mobile, AL;0.2745115888902995;0.03979948092238523;-0.02011527949611934;-0.699152828292225;0.9639944440555587;-1.5354658637013252;1.8084141462300813;-0.16167774222846104;0.20811069475617547;-0.01810789455986609;-0.4657572187018927;-0.9669494807863944;-0.3663389669609785;0.09314132672019207;-0.2245081020031156;0.49778238874356656
Monroe, AL;0.2311084184356769;-0.13777187376308112;-1.228185154457327;0.03209230864667825;1.053032589658995;-1.8368452218110274;2.223820988613923;-0.12229518438733461;-0.35414596451487873;-0.12409134446983397;-0.577724482692371;-1.1482576160776476;-0.6270557147268359;-1.0932545795880622;-1.2310661578225024;1.5077179669147298
Montgomery, AL;1.2944860945739405;0.012870376732213118;-0.4847575390965838;-0.9733697546443135;1.1420707352624344;-2.814790485881286;3.2623380945735265;-0.2535703771910893;0.3955295811798602;-0.01810789455986609;-0.40604134457363755;-2.0396892812596428;-0.3055050591489451;1.3023525389189894;-0.10449767337239972;0.6376196226441889
Morgan, AL;-1.0131158012635166;-0.033476782721608075;-0.02011527949611934;-0.37923308088145485;0.38524649763320845;-0.09007506460377299;0.2229446977984204;-0.14855022294808554;-0.24169463266066793;-0.01810789455986609;-0.07760403686823454;-0.025154444690162127;-0.1490750104894307;0.001880103158018583;0.01744569633570165;-0.18586631032614406
Perry, AL;2.234888121090773;-0.14214237894072126;-1.7547797153378533;0.009240898117337209;1.4537042448744695;-3.325290214924251;4.044687647729761;-0.2666978964714648;-0.35414596451487873;-0.12409134446983397;-0.5627955141603072;-2.3720875292936072;-0.6965801807977312;-0.9677703971900738;-1.2300576668256056;1.6475552008153522
Pickens, AL;0.29621317411761133;-0.13758476638684897;-0.6396382922967385;0.21490359288140418;0.9194753712538389;-1.719983838054204;2.196127199121667;-0.2666978964714648;-0.3916297417996157;0.29984245517003755;-0.49561515576602017;-1.0878215709805634;-0.5662218069148024;-1.1046622325333337;-1.418813565078118;1.725242552982365
Pike, AL;0.043028013132310354;-0.1220358221699798;0.2896462269041903;-0.7677070598802469;0.8749562984521192;-1.6277248508777646;1.9122658568260418;-0.20106030006958747;0.28307824932564946;-0.01810789455986609;-0.4881506714999883;-1.0173128517006313;-0.25336170959577364;0.3441096915161688;-1.171733270838409;1.6786301416821579
Randolph, AL;-0.8684385664147732;-0.12792865422260455;-0.36085293653646;0.37486346658678904;0.6968800072452435;-0.4652616124546266;0.7560501455243503;-0.2273153386303384;-0.3916297417996157;-0.01810789455986609;-0.4209703131057013;-0.12588118651863614;-0.5227690156204929;-0.8651015206826287;-0.8883473007104159;1.0571313243460572
Russell, AL;0.8532205282852731;-0.0976188854783745;3.7589750985876584;-1.1333296283496987;0.47428464323664793;-1.935254808132563;2.293055462344563;-0.2273153386303384;-0.20421085537593095;0.19385900526006963;-0.2940740805831592;-1.3648201110088671;-0.4619351078084595;-0.5456872382150219;-1.0129799797435752;0.9172940904454343
St. Clair, AL;-1.707566528537485;-0.07302285474443208;0.8781930890647787;-0.5620443651161808;0.07361298802117666;0.1744006986353534;0.008317829233435704;-0.24044285791071388;-0.20421085537593095;-0.01810789455986609;-0.4881506714999883;0.4432249048122419;-0.6009840399502501;-0.5228719323244785;0.3368011786863462;-0.23247872162635141
Shelby, AL;-1.3531073031580636;-0.0034082739409742515;1.3428353486652433;-1.0876268072910171;0.5633227888400874;-0.05317146973319667;0.1814040135600363;-0.24044285791071388;0.28307824932564946;-0.01810789455986609;-0.2119647536568085;0.07053596004688777;-0.08824110267739739;2.3974872216650702;1.9946763366682316;-1.33563912239793
